,sampleno,kyojuuchi,q1,q2,q3,q3_toshiruikei,q4_1,q4_2,q5_1,q5_2,q6_1,q6_3,q6_3_toshiruikei,q6_4,q6_5_dai,q6_5_shou,q6_6,q6_7,q6a,q6b,q6c,q6d,q7,q8,q9_1,q9_2,q9_3,q9_4,q9_5,q10,q11,q11sq1,q11sq2_1,q11sq2_2,q11sq2_3,q11sq2_4,q11sq2_5,q11sq2_6,q11sq2_7,q12,q13,q13sq1,q13sq2,q13sq3,q13sq4_1,q13sq4_2,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,q15_kigyou,q15_jigyousho,q15_1,q15_3,q15_3_toshiruikei,q15_4,q15_5_dai,q15_5_shou,q15_6,q15_7,q15_8,q15_9_1,q15_9_2,q15_10,q16_1_kigyou,q16_1_jigyousho,q16_1_1,q16_1_3,q16_1_3_toshiruikei,q16_1_4,q16_1_5_dai,q16_1_5_shou,q16_1_6,q16_1_7,q16_1_8,q16_1_9_1,q16_1_9_2,q16_1_10,q16_2_kigyou,q16_2_jigyousho,q16_2_1,q16_2_3,q16_2_3_toshiruikei,q16_2_4,q16_2_5_dai,q16_2_5_shou,q16_2_6,q16_2_7,q16_2_8,q16_2_9_1,q16_2_9_2,q16_2_10,q16_3_kigyou,q16_3_jigyousho,q16_3_1,q16_3_3,q16_3_3_toshiruikei,q16_3_4,q16_3_5_dai,q16_3_5_shou,q16_3_6,q16_3_7,q16_3_8,q16_3_9_1,q16_3_9_2,q16_3_10,q16_4_kigyou,q16_4_jigyousho,q16_4_1,q16_4_3,q16_4_3_toshiruikei,q16_4_4,q16_4_5_dai,q16_4_5_shou,q16_4_6,q16_4_7,q16_4_8,q16_4_9_1,q16_4_9_2,q16_4_10,q16_5_kigyou,q16_5_jigyousho,q16_5_1,q16_5_3,q16_5_3_toshiruikei,q16_5_4,q16_5_5_dai,q16_5_5_shou,q16_5_6,q16_5_7,q16_5_8,q16_5_9_1,q16_5_9_2,q16_5_10,q16_6_kigyou,q16_6_jigyousho,q16_6_1,q16_6_3,q16_6_3_toshiruikei,q16_6_4,q16_6_5_dai,q16_6_5_shou,q16_6_6,q16_6_7,q16_6_8,q16_6_9_1,q16_6_9_2,q16_6_10,q16_7_kigyou,q16_7_jigyousho,q16_7_1,q16_7_3,q16_7_3_toshiruikei,q16_7_4,q16_7_5_dai,q16_7_5_shou,q16_7_6,q16_7_7,q16_7_8,q16_7_9_1,q16_7_9_2,q16_7_10,q16_8_kigyou,q16_8_jigyousho,q16_8_1,q16_8_3,q16_8_3_toshiruikei,q16_8_4,q16_8_5_dai,q16_8_5_shou,q16_8_6,q16_8_7,q16_8_8,q16_8_9_1,q16_8_9_2,q16_8_10,q16_9_kigyou,q16_9_jigyousho,q16_9_1,q16_9_3,q16_9_3_toshiruikei,q16_9_4,q16_9_5_dai,q16_9_5_shou,q16_9_6,q16_9_7,q16_9_8,q16_9_9_1,q16_9_9_2,q16_9_10,q16_10_kigyou,q16_10_jigyousho,q16_10_1,q16_10_3,q16_10_3_toshiruikei,q16_10_4,q16_10_5_dai,q16_10_5_shou,q16_10_6,q16_10_7,q16_10_8,q16_10_9_1,q16_10_9_2,q16_10_10,q16_11_kigyou,q16_11_jigyousho,q16_11_1,q16_11_3,q16_11_3_toshiruikei,q16_11_4,q16_11_5_dai,q16_11_5_shou,q16_11_6,q16_11_7,q16_11_8,q16_11_9_1,q16_11_9_2,q16_11_10,q16_12_kigyou,q16_12_jigyousho,q16_12_1,q16_12_3,q16_12_3_toshiruikei,q16_12_4,q16_12_5_dai,q16_12_5_shou,q16_12_6,q16_12_7,q16_12_8,q16_12_9_1,q16_12_9_2,q16_12_10,q16_13_kigyou,q16_13_jigyousho,q16_13_1,q16_13_3,q16_13_3_toshiruikei,q16_13_4,q16_13_5_dai,q16_13_5_shou,q16_13_6,q16_13_7,q16_13_8,q16_13_9_1,q16_13_9_2,q16_13_10,q16_14_kigyou,q16_14_jigyousho,q16_14_1,q16_14_3,q16_14_3_toshiruikei,q16_14_4,q16_14_5_dai,q16_14_5_shou,q16_14_6,q16_14_7,q16_14_8,q16_14_9_1,q16_14_9_2,q16_14_10,q16_15_kigyou,q16_15_jigyousho,q16_15_1,q16_15_3,q16_15_3_toshiruikei,q16_15_4,q16_15_5_dai,q16_15_5_shou,q16_15_6,q16_15_7,q16_15_8,q16_15_9_1,q16_15_9_2,q16_15_10,q16_16_kigyou,q16_16_jigyousho,q16_16_1,q16_16_3,q16_16_3_toshiruikei,q16_16_4,q16_16_5_dai,q16_16_5_shou,q16_16_6,q16_16_7,q16_16_8,q16_16_9_1,q16_16_9_2,q16_16_10,q16_17_kigyou,q16_17_jigyousho,q16_17_1,q16_17_3,q16_17_3_toshiruikei,q16_17_4,q16_17_5_dai,q16_17_5_shou,q16_17_6,q16_17_7,q16_17_8,q16_17_9_1,q16_17_9_2,q16_17_10,q17_1,q17_2,q17_3,q18,q18sq1_1,q18sq1_2,q18sq1_3,q18sq1_4,q18sq1_5,q18sq1_6,q18sq1_7,q18sq2_1_1,q18sq2_1_2,q18sq2_1_3,q18sq2_1_4,q18sq2_1_5,q18sq2_1_7,q18sq2_2_1,q18sq2_2_2,q18sq2_2_3,q18sq2_2_4,q18sq2_2_5,q18sq2_2_7,q18sq2_3_1,q18sq2_3_2,q18sq2_3_3,q18sq2_3_4,q18sq2_3_5,q18sq2_3_7,q19,q19sq1_1,q19sq1_2,q19sq1_3,q19sq1_4,q19sq1_5,q19sq2_1,q19sq2_2,q19sq2_3,q19sq2_4,q19sq2_5,q19sq3_1,q19sq3_2,q19sq3_3,q19sq3_4,q19sq3_5,q20,q20sq2,q21,q22,q22sq1,q22sq2,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_8,q23_9,q23_10,q24,q25,q25sq1,q25sq2,q25sq3,q26_1,q26_1sq1,q26_1sq2,q26_2,q26_3,q26_4,q26_5,q26_6_1,q26_6_2,q27,q28_1,q28_1sq1,q28_1sq2,q28_2,q28_3,q28_4,q28_5,q28_6_1,q28_6_2,q29,q29_1,q29_2,q29_3,q29_4,q30,q30_1_1,q30_1_3,q30_1_4_dai,q30_1_4_shou,q30_1_5,q30_1_6,q31,q32,q32_1,q33,q33_1
1942,1943,7,45,1,7,3,4,3,2,2,2,7,3,85,1,46,1,3,1,38,45,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,7,1,42,2,1,1,6,2,1,2,2,2,1,0,0,2,12,1,21,4,70,1,4,5,23,26,13,1,0,1,12,1,21,4,70,8,3,7,26,38,2,2,0,2,7,3,85,1,46,1,3,1,38,45,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,5,1,2,1,1,1,3,3,3,1,2,3,2,1,42,3,3,10,8,4,12,3,2,1,19,23,2,98,8,8,98,8,8,8,98,98,1,27,28,42,45,1,4,46,10,275,1,3,7,7,998,6,998
1943,1944,7,30,1,7,3,6,4,3,2,1,7,3,82,8,137,8,1,7,27,30,1,1,1,2,1,1,9,1,2,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,7,3,82,8,137,1,4,1,18,27,14,1,0,1,7,3,82,8,137,8,1,7,27,30,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,1,1,1,28,4,1,8,8,98,8,8,8,8,98,8,8,2,8,5,1,5,1,3,2,1,1,3,3,3,1,2,1,1,8,98,98,98,8,2,8,7,3,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,25,26,80,98,1,5,82,3,55,8,1,7,6,998,6,998
1944,1945,7,32,2,7,3,3,1,1,1,2,7,3,91,1,29,1,5,8,27,32,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,10,2,98,8,8,98,98,2,1,1,1,2,8,0,0,2,7,3,91,1,29,1,4,5,23,27,1,0,1,2,7,3,91,1,29,1,5,8,27,32,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,3,1,1,3,2,1,1,1,2,1,2,3,3,2,1,2,98,98,98,10,8,6,7,1,1,1,19,23,2,98,8,8,98,8,8,8,98,98,1,28,80,98,98,1,2,91,1,27,1,3,8,11,998,8,998
1945,1946,7,36,2,5,3,8,8,6,6,2,7,3,38,1,5,4,7,8,99,36,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,14,2,98,8,8,98,98,2,1,2,2,1,8,0,0,2,7,3,38,1,5,1,7,3,22,99,1,0,0,2,7,3,38,1,5,4,7,8,99,36,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,5,1,1,0,0,0,0,0,0,4,1,1,25,2,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,1,2,2,2,1,1,2,3,3,3,3,2,1,2,98,98,98,10,8,4,5,2,1,1,18,22,2,98,8,8,98,8,8,8,98,98,1,26,28,80,98,1,7,13,97,997,8,98,8,11,998,11,998
1946,1947,7,35,2,13,4,3,2,2,2,2,7,4,75,10,273,2,4,6,30,35,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,5,2,98,8,8,98,98,2,1,1,2,1,1,0,0,2,20,3,75,10,273,1,5,6,15,25,3,1,0,2,7,3,75,10,273,1,4,6,25,30,2,2,0,2,7,4,75,10,273,2,4,6,30,35,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,1,1,4,25,2,1,8,8,98,8,8,8,8,98,8,8,2,8,5,1,5,2,3,3,1,3,3,1,3,1,1,3,1,1,32,5,6,7,8,8,13,2,1,1,12,15,2,98,8,8,98,8,8,8,98,98,1,28,80,98,98,1,2,43,4,66,1,7,7,10,998,6,998
1947,1948,7,40,1,7,3,5,4,2,2,2,7,3,61,2,50,5,5,8,99,40,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,11,1,35,2,1,6,8,2,1,2,1,1,1,0,0,2,7,3,61,7,99,1,4,5,20,25,8,1,0,2,7,3,62,7,99,1,4,5,25,29,6,2,0,2,7,3,61,3,54,1,5,1,29,99,1,2,0,2,7,3,61,2,50,5,5,8,99,40,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8,8,1,9,9,9,9,9,9,9,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,2,1,1,1,2,1,1,1,2,2,2,3,3,2,2,1,99,1,8,8,2,8,7,3,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,25,26,80,98,1,4,43,8,260,1,7,7,9,998,8,998
1948,1949,7,36,1,7,4,4,3,2,1,1,7,3,1,5,75,8,1,7,18,36,0,2,1,9,9,9,9,9,1,1,2,0,1,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,7,3,1,5,75,8,1,7,18,36,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,1,6,3,1,3,3,1,3,3,2,1,1,1,1,8,98,98,98,8,4,8,7,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,23,25,80,98,1,5,1,5,75,8,1,7,10,998,10,998
1949,1950,7,50,1,7,4,4,3,3,3,2,7,2,36,8,139,1,99,4,44,50,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,6,2,98,8,8,98,98,1,2,2,2,2,1,0,0,2,7,2,60,8,227,1,8,99,19,24,99,1,0,2,7,2,82,8,137,2,4,99,24,44,12,2,0,2,7,2,36,8,139,1,99,4,44,50,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,1,1,1,20,1,2,8,8,98,8,8,8,8,98,8,8,2,8,3,2,8,8,1,1,3,1,3,3,2,3,3,1,2,2,98,98,98,4,8,8,7,3,1,1,99,99,2,98,8,8,98,8,8,8,98,98,1,20,22,48,50,1,2,18,8,209,2,99,1,9,998,5,998
1950,1951,7,29,2,6,2,4,3,3,3,2,7,2,40,4,70,1,99,3,22,29,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,7,2,98,8,8,98,98,9,9,2,9,9,8,0,0,2,7,2,40,4,70,1,99,3,22,29,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,1,1,1,2,1,1,1,2,1,3,2,3,1,9,98,98,98,10,8,2,6,3,1,1,18,22,2,98,8,8,98,8,8,8,98,98,1,27,28,80,98,1,7,13,97,997,8,98,7,10,998,10,998
1951,1952,7,54,1,7,4,6,1,4,1,1,7,4,1,5,75,8,1,2,18,54,0,2,1,9,9,9,9,9,1,1,2,0,0,0,0,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,7,4,1,5,75,8,1,2,18,54,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,5,9,2,8,8,1,2,1,1,9,1,1,9,1,1,1,8,98,98,98,2,8,8,7,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,21,24,45,50,2,98,12,98,998,8,98,98,11,998,2,998
1952,1953,7,63,1,12,1,6,6,3,3,2,7,4,35,3,54,1,5,1,61,63,3,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,2,2,98,8,8,98,98,1,1,2,2,1,1,0,0,2,12,1,20,3,54,1,8,6,26,27,1,0,1,2,14,3,20,5,75,1,8,8,27,28,1,0,2,2,7,4,20,2,50,4,8,8,28,33,1,0,3,2,11,3,20,2,50,5,8,8,33,38,1,0,4,2,8,3,20,2,50,5,8,8,38,41,1,0,5,2,7,2,20,2,50,5,8,8,41,57,14,1,0,2,7,2,34,2,50,5,6,6,57,60,2,2,0,2,47,2,20,2,50,5,8,6,60,61,3,3,0,2,7,4,35,3,54,1,5,1,61,63,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,5,1,9,9,9,9,9,9,9,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,5,3,1,3,4,2,1,1,1,1,1,2,3,3,3,1,2,98,98,98,5,8,8,12,1,1,1,19,22,2,98,8,8,98,8,8,8,98,98,1,28,28,55,60,1,7,13,97,997,8,98,3,8,998,8,998
1953,1954,7,37,1,7,2,4,3,2,2,1,7,2,99,2,48,8,4,2,29,37,2,1,5,2,1,1,2,1,3,1,3,0,0,0,0,0,1,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,7,3,99,4,70,1,8,1,20,22,7,1,0,2,7,2,99,4,70,1,6,1,22,29,13,2,0,1,7,2,99,2,48,8,4,2,29,37,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,3,1,9,9,9,9,9,9,9,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,1,1,1,28,4,2,8,8,98,8,8,8,8,98,8,8,1,4,5,1,5,4,3,1,1,1,3,1,3,1,2,3,1,8,98,98,98,8,2,8,7,3,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,32,34,80,98,1,7,13,97,997,8,98,7,13,998,13,998
1954,1955,7,45,2,3,4,2,2,2,2,2,7,2,25,8,183,1,5,1,25,45,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,19,2,98,8,8,98,98,2,1,2,2,1,1,0,0,2,3,4,25,8,183,1,4,6,21,25,14,1,0,2,7,2,25,8,183,1,5,1,25,45,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,3,2,8,8,3,3,1,2,3,1,3,3,1,1,1,2,98,98,98,8,4,8,3,2,1,1,16,19,2,98,8,8,98,8,8,8,98,98,1,27,28,80,98,1,7,13,97,997,8,98,10,9,998,9,998
1955,1956,7,53,1,7,4,4,2,3,2,1,7,4,1,5,75,8,1,7,16,53,0,2,1,9,9,9,9,9,1,1,2,0,0,0,1,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,7,4,1,5,75,8,1,7,16,53,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,1,5,3,1,3,1,1,9,1,1,1,1,1,1,8,98,98,98,2,8,8,7,2,1,1,13,15,1,3,8,8,7,2,1,1,16,18,1,21,23,41,50,1,5,1,5,75,8,1,3,13,998,6,998
1956,1957,7,48,1,7,4,8,2,5,2,2,7,2,86,8,239,1,2,4,48,48,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,1,2,98,8,8,98,98,2,1,1,1,1,1,0,0,2,7,4,82,8,239,1,3,2,14,28,8,1,0,2,7,2,86,8,239,1,2,5,28,48,10,2,0,2,7,2,86,8,239,1,2,4,48,48,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,1,1,1,36,2,1,8,8,98,8,8,8,8,98,8,8,1,2,4,2,8,8,1,1,1,1,1,1,3,1,1,1,1,2,98,98,98,1,8,8,7,2,1,1,8,12,2,98,8,8,98,8,8,8,98,98,1,25,26,42,80,1,7,13,97,997,8,98,1,9,998,4,998
1957,1958,7,62,1,7,4,3,3,1,1,7,98,8,12,98,998,8,98,98,48,62,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,7,2,20,8,149,1,8,5,17,48,2,98,98,7,98,8,12,98,998,8,98,98,48,62,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,1,1,1,2,3,1,2,9,1,1,1,8,98,98,98,2,8,8,7,2,1,1,13,16,2,98,8,8,98,8,8,8,98,98,1,25,26,45,80,1,7,13,97,997,8,98,1,99,998,1,998
1958,1959,7,53,1,7,4,5,2,2,1,1,7,4,40,4,64,8,2,7,49,53,3,1,2,1,1,1,1,1,5,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,7,2,36,8,129,1,8,5,14,17,13,1,0,2,7,4,62,7,99,1,3,5,17,25,9,2,0,2,7,2,62,7,99,1,4,99,25,49,2,3,0,1,7,4,40,4,64,8,2,7,49,53,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,8,1,9,9,9,9,9,9,9,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,2,3,2,8,8,3,2,3,2,3,1,1,3,1,3,2,8,98,98,98,2,8,8,7,2,1,1,12,14,2,98,8,8,98,8,8,8,98,98,1,26,32,50,80,1,5,40,3,54,8,2,6,10,998,6,998
1959,1960,7,43,1,7,4,3,2,1,1,1,7,4,1,5,75,8,1,7,18,43,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,7,4,1,5,75,8,1,7,18,43,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,3,2,8,8,2,1,3,3,9,2,3,3,2,2,1,8,98,98,98,8,4,8,7,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,26,27,80,98,1,5,1,5,75,8,1,7,9,998,9,998
